,on_trip_count,money_spent,taxi_free_rate,average_decline_rate,waiting_customers,highest_decline_rate,no_response_call,lowest_decline_rate,total_call,averange_speed,no_response_rate,finished_count,average_waiting_time
0,0.0,96.9169482351,"(3995.0, 0.99875)",0.0,"(5, 1)",0.0,0.0,0.0,5.0,32.349768589,0.0,0.0,0.0
1,0.0,182.587043922,"(3991.0, 0.99775)",0.0,"(9, 0)",0.0,1.0,0.0,10.0,30.9580535111,0.1,0.0,0.0
2,3.0,257.770706054,"(3986.0, 0.9965)",0.0,"(11, 0)",0.0,1.0,0.0,15.0,28.0282967927,0.0666666666667,0.0,22.5
3,3.0,377.99496977,"(3981.0, 0.99525)",0.0,"(16, 0)",0.0,1.0,0.0,20.0,27.6090242536,0.05,0.0,22.5
4,5.0,451.901083304,"(3978.0, 0.9945)",0.0,"(17, 0)",0.0,3.0,0.0,25.0,27.9436328562,0.12,0.0,35.0
5,8.0,524.626376988,"(3974.0, 0.9935)",0.0,"(18, 0)",0.0,4.0,0.0,30.0,26.5732820896,0.133333333333,0.0,48.3333333333
6,10.0,615.162705764,"(3970.0, 0.9925)",0.0,"(20, 0)",0.0,5.0,0.0,35.0,28.8153039657,0.142857142857,0.0,55.9090909091
7,12.0,684.518317709,"(3967.0, 0.99175)",0.0,"(21, 0)",0.0,7.0,0.0,40.0,26.8741195885,0.175,0.0,63.4615384615
8,13.0,750.271808356,"(3963.0, 0.99075)",0.0,"(24, 0)",0.0,8.0,0.0,45.0,27.5893981131,0.177777777778,0.0,67.5
9,16.0,793.380976734,"(3961.0, 0.99025)",0.0,"(23, 0)",0.0,11.0,0.0,50.0,27.2110235025,0.22,0.0,79.4117647059
10,18.0,904.391865933,"(3956.0, 0.989)",0.0,"(26, 0)",0.0,11.0,0.0,55.0,27.8799913497,0.2,0.0,86.8421052632
11,20.0,975.935283665,"(3951.0, 0.98775)",0.0,"(29, 0)",0.0,11.0,0.0,60.0,26.2413075111,0.183333333333,0.0,94.2857142857
12,22.0,1075.57117895,"(3947.0, 0.98675)",0.0,"(31, 0)",0.0,12.0,0.0,65.0,27.6524595684,0.184615384615,0.0,101.739130435
13,25.0,81445.5104821,"(3942.0, 0.9855)",0.0,"(33, 0)",0.0,12.0,0.0,70.0,26.8731190339,0.171428571429,0.0,112.5
14,26.0,81523.3767384,"(3940.0, 0.985)",0.0,"(34, 0)",0.0,14.0,0.0,75.0,26.8895163726,0.186666666667,1.0,121.666666667
15,26.0,82110.0090392,"(3937.0, 0.98425)",0.0,"(37, 0)",0.0,16.0,0.0,80.0,26.1170981583,0.2,1.0,121.666666667
16,27.0,82229.9115487,"(3932.0, 0.983)",0.0,"(41, 0)",0.0,16.0,0.0,85.0,27.2099987857,0.188235294118,1.0,125.892857143
17,30.0,82316.7611335,"(3927.0, 0.98175)",0.0,"(43, 0)",0.0,16.0,0.0,90.0,25.6615968176,0.177777777778,1.0,138.387096774
