,on_trip_count,money_spent,taxi_free_rate,average_decline_rate,waiting_customers,highest_decline_rate,no_response_call,lowest_decline_rate,total_call,averange_speed,no_response_rate,finished_count,average_waiting_time
0,0.0,60.0,"(3996.0, 0.999)",0.0,"(4, 0)",0.0,1.0,0.0,5.0,32.4151660532,0.2,0.0,0.0
1,1.0,135.0,"(3991.0, 0.99775)",0.0,"(8, 0)",0.0,1.0,0.0,10.0,30.8339155658,0.1,0.0,7.5
2,1.0,210.0,"(3986.0, 0.9965)",0.0,"(13, 0)",0.0,1.0,0.0,15.0,28.3411286994,0.0666666666667,0.0,7.5
3,3.0,285.0,"(3981.0, 0.99525)",0.0,"(16, 0)",0.0,1.0,0.0,20.0,28.1020471653,0.05,0.0,26.25
4,6.0,360.0,"(3976.0, 0.994)",0.0,"(18, 0)",0.0,1.0,0.0,25.0,28.2089342394,0.04,0.0,40.7142857143
5,7.0,435.0,"(3971.0, 0.99275)",0.0,"(22, 0)",0.0,1.0,0.0,30.0,26.8615534676,0.0333333333333,0.0,45.0
6,8.0,495.0,"(3967.0, 0.99175)",0.0,"(25, 0)",0.0,2.0,0.0,35.0,28.7617091648,0.0571428571429,0.0,50.0
7,12.0,570.0,"(3962.0, 0.9905)",0.0,"(26, 0)",0.0,2.0,0.0,40.0,27.0845014171,0.05,0.0,66.9230769231
8,13.0,645.0,"(3957.0, 0.98925)",0.0,"(30, 0)",0.0,2.0,0.0,45.0,27.8262822157,0.0444444444444,0.0,70.7142857143
9,16.0,720.0,"(3952.0, 0.988)",0.0,"(32, 0)",0.0,2.0,0.0,50.0,26.9403927374,0.04,0.0,82.0588235294
10,18.0,795.0,"(3947.0, 0.98675)",0.0,"(35, 0)",0.0,2.0,0.0,55.0,28.1059110008,0.0363636363636,0.0,89.2105263158
11,21.0,870.0,"(3942.0, 0.9855)",0.0,"(37, 0)",0.0,2.0,0.0,60.0,26.1138946759,0.0333333333333,0.0,99.5454545455
12,25.0,945.0,"(3937.0, 0.98425)",0.0,"(38, 0)",0.0,2.0,0.0,65.0,27.8861792845,0.0307692307692,0.0,111.923076923
13,29.0,1005.0,"(3933.0, 0.98325)",0.0,"(38, 0)",0.0,3.0,0.0,70.0,26.8363735827,0.0428571428571,0.0,123.0
14,31.0,1050.0,"(3931.0, 0.98275)",0.0,"(38, 0)",0.0,5.0,0.0,75.0,27.5910304256,0.0666666666667,1.0,133.125
15,32.0,1125.0,"(3927.0, 0.98175)",0.0,"(41, 0)",0.0,5.0,0.0,80.0,26.8899046119,0.0625,2.0,138.636363636
16,34.0,1200.0,"(3922.0, 0.9805)",0.0,"(44, 0)",0.0,5.0,0.0,85.0,27.8211853546,0.0588235294118,2.0,144.428571429
17,38.0,1260.0,"(3918.0, 0.9795)",0.0,"(44, 0)",0.0,6.0,0.0,90.0,26.1979526566,0.0666666666667,2.0,155.769230769
18,39.0,1320.0,"(3914.0, 0.9785)",0.0,"(47, 0)",0.0,7.0,0.0,95.0,27.4209267569,0.0736842105263,2.0,158.625
19,40.0,1365.0,"(3912.0, 0.978)",0.0,"(48, 0)",0.0,9.0,0.0,100.0,26.2805992029,0.09,3.0,166.097560976
20,42.0,1425.0,"(3908.0, 0.977)",0.0,"(50, 0)",0.0,10.0,0.0,105.0,27.0093221185,0.0952380952381,3.0,172.325581395
21,43.0,1500.0,"(3903.0, 0.97575)",0.0,"(54, 0)",0.0,10.0,0.0,110.0,26.4662260683,0.0909090909091,3.0,175.568181818
22,46.0,1560.0,"(3900.0, 0.975)",0.0,"(54, 0)",0.0,11.0,0.0,115.0,27.3988743032,0.095652173913,4.0,191.170212766
23,51.0,1620.0,"(3896.0, 0.974)",0.0,"(53, 0)",0.0,12.0,0.0,120.0,26.2270098866,0.1,4.0,205.961538462
24,56.0,1695.0,"(3891.0, 0.97275)",0.0,"(53, 0)",0.0,12.0,0.0,125.0,26.5570622944,0.096,4.0,219.473684211
25,58.0,1770.0,"(3887.0, 0.97175)",0.0,"(55, 0)",0.0,12.0,0.0,130.0,26.2253902818,0.0923076923077,5.0,230.338983051
26,58.0,1815.0,"(3884.0, 0.971)",0.0,"(58, 0)",0.0,14.0,0.0,135.0,25.7007542261,0.103703703704,5.0,230.338983051
27,62.0,1875.0,"(3880.0, 0.97)",0.0,"(58, 0)",0.0,15.0,0.0,140.0,25.5763448247,0.107142857143,5.0,241.428571429
28,64.0,1950.0,"(3875.0, 0.96875)",0.0,"(61, 0)",0.0,15.0,0.0,145.0,25.4599505124,0.103448275862,5.0,246.923076923
29,65.0,2025.0,"(3870.0, 0.9675)",0.0,"(65, 0)",0.0,15.0,0.0,150.0,24.8796144109,0.1,5.0,249.772727273
30,72.0,2100.0,"(3866.0, 0.9665)",0.0,"(62, 0)",0.0,15.0,0.0,155.0,25.3708761411,0.0967741935484,6.0,271.849315068
31,74.0,2175.0,"(3863.0, 0.96575)",0.0,"(63, 0)",0.0,15.0,0.0,160.0,25.1043302825,0.09375,8.0,287.8
32,76.0,2220.0,"(3860.0, 0.965)",0.0,"(64, 0)",0.0,17.0,0.0,165.0,25.0000937645,0.10303030303,8.0,292.792207792
33,77.0,2295.0,"(3857.0, 0.96425)",0.0,"(66, 0)",0.0,17.0,0.0,170.0,24.6966387006,0.1,10.0,303.269230769
34,82.0,2370.0,"(3852.0, 0.963)",0.0,"(66, 0)",0.0,17.0,0.0,175.0,25.1847629058,0.0971428571429,10.0,315.722891566
35,82.0,2445.0,"(3848.0, 0.962)",0.0,"(70, 0)",0.0,17.0,0.0,180.0,24.6632658096,0.0944444444444,11.0,320.78313253
36,83.0,2505.0,"(3844.0, 0.961)",0.0,"(73, 0)",0.0,18.0,0.0,185.0,24.820599723,0.0972972972973,11.0,323.392857143
37,88.0,2580.0,"(3840.0, 0.96)",0.0,"(72, 0)",0.0,18.0,0.0,190.0,24.7043197236,0.0947368421053,12.0,340.449438202
38,93.0,2640.0,"(3836.0, 0.959)",0.0,"(71, 0)",0.0,19.0,0.0,195.0,25.0623331736,0.0974358974359,12.0,352.659574468
39,97.0,2715.0,"(3832.0, 0.958)",0.0,"(71, 0)",0.0,19.0,0.0,200.0,24.798121463,0.095,13.0,366.275510204
40,99.0,2790.0,"(3829.0, 0.95725)",0.0,"(72, 0)",0.0,19.0,0.0,205.0,24.7343585985,0.0926829268293,15.0,378.0
41,99.0,2865.0,"(3827.0, 0.95675)",0.0,"(74, 0)",0.0,19.0,0.0,210.0,24.2622565524,0.0904761904762,18.0,386.7
42,103.0,2940.0,"(3822.0, 0.9555)",0.0,"(75, 0)",0.0,19.0,0.0,215.0,24.4176352267,0.0883720930233,18.0,396.057692308
43,101.0,3015.0,"(3819.0, 0.95475)",0.0,"(80, 0)",0.0,19.0,0.0,220.0,24.4505652918,0.0863636363636,20.0,397.941176471
44,103.0,3090.0,"(3814.0, 0.9535)",0.0,"(83, 0)",0.0,19.0,0.0,225.0,24.3394044365,0.0844444444444,20.0,402.980769231
45,109.0,3165.0,"(3809.0, 0.95225)",0.0,"(82, 0)",0.0,19.0,0.0,230.0,23.4584797143,0.0826086956522,20.0,417.818181818
46,110.0,3240.0,"(3804.0, 0.951)",0.0,"(86, 0)",0.0,19.0,0.0,235.0,23.6679751732,0.0808510638298,20.0,420.27027027
47,114.0,3300.0,"(3800.0, 0.95)",0.0,"(86, 0)",0.0,20.0,0.0,240.0,23.4487724557,0.0833333333333,20.0,430.173913043
48,115.0,3345.0,"(3797.0, 0.94925)",0.0,"(88, 0)",0.0,22.0,0.0,245.0,23.7628607725,0.0897959183673,20.0,432.672413793
49,118.0,3405.0,"(3794.0, 0.9485)",0.0,"(88, 0)",0.0,23.0,0.0,250.0,23.0123775288,0.092,21.0,442.56302521
50,120.0,3450.0,"(3793.0, 0.94825)",0.0,"(87, 0)",0.0,25.0,0.0,255.0,23.4791041068,0.0980392156863,23.0,453.719008264
51,120.0,3525.0,"(3791.0, 0.94775)",0.0,"(89, 0)",0.0,25.0,0.0,260.0,23.1464619374,0.0961538461538,26.0,466.73553719
52,122.0,3600.0,"(3787.0, 0.94675)",0.0,"(91, 0)",0.0,25.0,0.0,265.0,23.5235773712,0.0943396226415,27.0,476.097560976
53,125.0,3645.0,"(3785.0, 0.94625)",0.0,"(90, 0)",0.0,27.0,0.0,270.0,23.0981259376,0.1,28.0,487.142857143
54,125.0,3705.0,"(3783.0, 0.94575)",0.0,"(92, 0)",0.0,28.0,0.0,275.0,22.6743536964,0.101818181818,30.0,493.333333333
55,124.0,3780.0,"(3781.0, 0.94525)",0.0,"(95, 0)",0.0,28.0,0.0,280.0,22.9249139161,0.1,33.0,502.32
56,127.0,3840.0,"(3778.0, 0.9445)",0.0,"(95, 0)",0.0,29.0,0.0,285.0,22.4881583358,0.101754385965,34.0,512.34375
57,126.0,3915.0,"(3776.0, 0.944)",0.0,"(98, 0)",0.0,29.0,0.0,290.0,22.0280096836,0.1,37.0,520.039370079
58,131.0,3975.0,"(3773.0, 0.94325)",0.0,"(96, 0)",0.0,30.0,0.0,295.0,22.5924860431,0.101694915254,38.0,535.454545455
59,133.0,4050.0,"(3771.0, 0.94275)",0.0,"(96, 0)",0.0,30.0,0.0,300.0,22.0747257196,0.1,41.0,546.044776119
60,134.0,4125.0,"(3768.0, 0.942)",0.0,"(98, 0)",0.0,30.0,0.0,305.0,21.9706737953,0.0983606557377,43.0,557.888888889
61,139.0,4200.0,"(3764.0, 0.941)",0.0,"(97, 0)",0.0,30.0,0.0,310.0,22.4737532452,0.0967741935484,44.0,573.214285714
62,139.0,4275.0,"(3760.0, 0.94)",0.0,"(101, 0)",0.0,30.0,0.0,315.0,22.0058917894,0.0952380952381,45.0,576.321428571
63,136.0,4350.0,"(3759.0, 0.93975)",0.0,"(105, 0)",0.0,30.0,0.0,320.0,21.6254944707,0.09375,49.0,584.124087591
64,136.0,4425.0,"(3756.0, 0.939)",0.0,"(108, 0)",0.0,30.0,0.0,325.0,22.1704170433,0.0923076923077,51.0,590.145985401
65,136.0,4485.0,"(3754.0, 0.9385)",0.0,"(110, 0)",0.0,31.0,0.0,330.0,21.8185348979,0.0939393939394,53.0,599.781021898
66,133.0,4545.0,"(3754.0, 0.9385)",0.0,"(113, 0)",0.0,32.0,0.0,335.0,22.1263292513,0.0955223880597,57.0,603.246268657
67,137.0,4620.0,"(3749.0, 0.93725)",0.0,"(114, 0)",0.0,32.0,0.0,340.0,21.2465666709,0.0941176470588,57.0,614.891304348
68,143.0,4680.0,"(3745.0, 0.93625)",0.0,"(112, 0)",0.0,33.0,0.0,345.0,21.4993359501,0.095652173913,57.0,631.770833333
69,150.0,4755.0,"(3741.0, 0.93525)",0.0,"(109, 0)",0.0,33.0,0.0,350.0,21.1212016393,0.0942857142857,58.0,655.629139073
70,154.0,4830.0,"(3736.0, 0.934)",0.0,"(110, 0)",0.0,33.0,0.0,355.0,21.5484578247,0.0929577464789,58.0,665.806451613
71,159.0,4890.0,"(3732.0, 0.933)",0.0,"(109, 0)",0.0,34.0,0.0,360.0,21.4106682399,0.0944444444444,58.0,678.28125
72,161.0,4965.0,"(3729.0, 0.93225)",0.0,"(110, 0)",0.0,34.0,0.0,365.0,21.4686629071,0.0931506849315,60.0,691.296296296
73,161.0,5025.0,"(3726.0, 0.9315)",0.0,"(113, 0)",0.0,35.0,0.0,370.0,21.1295216141,0.0945945945946,61.0,693.518518519
74,163.0,5100.0,"(3723.0, 0.93075)",0.0,"(114, 0)",0.0,35.0,0.0,375.0,21.0011137813,0.0933333333333,63.0,706.554878049
75,167.0,5175.0,"(3718.0, 0.9295)",0.0,"(115, 0)",0.0,35.0,0.0,380.0,21.01032693,0.0921052631579,63.0,716.517857143
76,166.0,5235.0,"(3716.0, 0.929)",0.0,"(118, 0)",0.0,36.0,0.0,385.0,20.9234082999,0.0935064935065,65.0,723.592814371
77,167.0,5310.0,"(3712.0, 0.928)",0.0,"(121, 0)",0.0,36.0,0.0,390.0,21.1375612367,0.0923076923077,66.0,728.214285714
78,170.0,5385.0,"(3708.0, 0.927)",0.0,"(122, 0)",0.0,36.0,0.0,395.0,21.3527346854,0.0911392405063,67.0,737.631578947
79,172.0,5460.0,"(3705.0, 0.92625)",0.0,"(123, 0)",0.0,36.0,0.0,400.0,20.9794831442,0.09,69.0,748.526011561
80,172.0,5505.0,"(3706.0, 0.9265)",0.0,"(122, 0)",0.0,38.0,0.0,405.0,20.6998093074,0.0938271604938,73.0,759.710982659
81,176.0,5580.0,"(3703.0, 0.92575)",0.0,"(121, 0)",0.0,38.0,0.0,410.0,20.6226504627,0.0926829268293,75.0,776.610169492
82,175.0,5640.0,"(3701.0, 0.92525)",0.0,"(124, 0)",0.0,39.0,0.0,415.0,20.5134800126,0.0939759036145,77.0,782.130681818
83,178.0,5715.0,"(3699.0, 0.92475)",0.0,"(123, 0)",0.0,39.0,0.0,420.0,20.1421959094,0.0928571428571,80.0,795.670391061
84,179.0,5775.0,"(3696.0, 0.924)",0.0,"(125, 0)",0.0,40.0,0.0,425.0,20.5021903742,0.0941176470588,81.0,802.75
85,184.0,5850.0,"(3693.0, 0.92325)",0.0,"(123, 0)",0.0,40.0,0.0,430.0,20.3814322392,0.093023255814,83.0,823.216216216
86,187.0,5910.0,"(3690.0, 0.9225)",0.0,"(123, 0)",0.0,41.0,0.0,435.0,20.296612362,0.0942528735632,84.0,831.223404255
87,185.0,5970.0,"(3690.0, 0.9225)",0.0,"(125, 0)",0.0,42.0,0.0,440.0,20.1203826704,0.0954545454545,88.0,840.241935484
88,185.0,6030.0,"(3688.0, 0.922)",0.0,"(127, 0)",0.0,43.0,0.0,445.0,19.8730703015,0.0966292134831,90.0,849.919354839
89,187.0,6090.0,"(3687.0, 0.92175)",0.0,"(126, 0)",0.0,44.0,0.0,450.0,19.465671151,0.0977777777778,93.0,866.808510638
90,190.0,6150.0,"(3686.0, 0.9215)",0.0,"(124, 0)",0.0,45.0,0.0,455.0,19.9073518394,0.0989010989011,96.0,886.963350785
91,190.0,6210.0,"(3685.0, 0.92125)",0.0,"(125, 0)",0.0,46.0,0.0,460.0,20.078185659,0.1,99.0,893.87434555
92,191.0,6285.0,"(3682.0, 0.9205)",0.0,"(127, 0)",0.0,46.0,0.0,465.0,19.7191022938,0.0989247311828,101.0,900.859375
93,188.0,6360.0,"(3681.0, 0.92025)",0.0,"(131, 0)",0.0,46.0,0.0,470.0,19.2898381633,0.0978723404255,105.0,904.761904762
94,187.0,6435.0,"(3677.0, 0.91925)",0.0,"(136, 0)",0.0,46.0,0.0,475.0,19.7223265898,0.0968421052632,106.0,906.861702128
95,187.0,6495.0,"(3675.0, 0.91875)",0.0,"(138, 0)",0.0,47.0,0.0,480.0,19.5317595531,0.0979166666667,108.0,916.515957447
96,184.0,6570.0,"(3674.0, 0.9185)",0.0,"(142, 0)",0.0,47.0,0.0,485.0,19.2460512562,0.0969072164948,112.0,920.918918919
97,187.0,6630.0,"(3672.0, 0.918)",0.0,"(141, 0)",0.0,48.0,0.0,490.0,19.3811735442,0.0979591836735,114.0,932.632978723
98,187.0,6690.0,"(3669.0, 0.91725)",0.0,"(144, 0)",0.0,49.0,0.0,495.0,19.4788354471,0.0989898989899,115.0,933.510638298
99,189.0,6765.0,"(3666.0, 0.9165)",0.0,"(145, 0)",0.0,49.0,0.0,500.0,19.4414576499,0.098,117.0,947.526315789
100,190.0,6840.0,"(3664.0, 0.916)",0.0,"(146, 0)",0.0,49.0,0.0,505.0,19.5444901263,0.0970297029703,120.0,962.120418848
101,190.0,6900.0,"(3662.0, 0.9155)",0.0,"(148, 0)",0.0,50.0,0.0,510.0,19.134757768,0.0980392156863,122.0,967.146596859
102,191.0,6975.0,"(3658.0, 0.9145)",0.0,"(151, 0)",0.0,50.0,0.0,515.0,19.065048381,0.0970873786408,123.0,974.609375
103,190.0,7035.0,"(3655.0, 0.91375)",0.0,"(155, 0)",0.0,51.0,0.0,520.0,18.7770033687,0.0980769230769,124.0,975.54973822
104,195.0,7095.0,"(3652.0, 0.913)",0.0,"(153, 0)",0.0,52.0,0.0,525.0,18.6672825534,0.0990476190476,125.0,993.214285714
105,195.0,7170.0,"(3650.0, 0.9125)",0.0,"(155, 0)",0.0,52.0,0.0,530.0,18.9137256807,0.0981132075472,128.0,1003.23979592
106,200.0,7230.0,"(3647.0, 0.91175)",0.0,"(153, 0)",0.0,53.0,0.0,535.0,18.6023857381,0.0990654205607,129.0,1020.59701493
107,202.0,7290.0,"(3643.0, 0.91075)",0.0,"(155, 0)",0.0,54.0,0.0,540.0,18.5616083628,0.1,129.0,1026.3546798
108,205.0,7335.0,"(3641.0, 0.91025)",0.0,"(154, 0)",0.0,56.0,0.0,545.0,18.6604255221,0.102752293578,130.0,1038.13106796
109,204.0,7410.0,"(3639.0, 0.90975)",0.0,"(157, 0)",0.0,56.0,0.0,550.0,18.3609435405,0.101818181818,133.0,1044.2195122
110,211.0,7470.0,"(3635.0, 0.90875)",0.0,"(154, 0)",0.0,57.0,0.0,555.0,18.5230723014,0.102702702703,133.0,1064.22169811
111,210.0,7515.0,"(3634.0, 0.9085)",0.0,"(156, 0)",0.0,59.0,0.0,560.0,18.1402100014,0.105357142857,135.0,1069.97630332
112,210.0,7575.0,"(3632.0, 0.908)",0.0,"(158, 0)",0.0,60.0,0.0,565.0,18.1822245918,0.106194690265,137.0,1076.51658768
113,217.0,7650.0,"(3627.0, 0.90675)",0.0,"(156, 0)",0.0,60.0,0.0,570.0,18.10532453,0.105263157895,137.0,1096.37614679
114,215.0,7710.0,"(3627.0, 0.90675)",0.0,"(158, 0)",0.0,61.0,0.0,575.0,18.217561254,0.106086956522,141.0,1110.06944444
115,220.0,7770.0,"(3624.0, 0.906)",0.0,"(156, 0)",0.0,62.0,0.0,580.0,18.1171348797,0.106896551724,142.0,1127.51131222
116,222.0,7845.0,"(3620.0, 0.905)",0.0,"(158, 0)",0.0,62.0,0.0,585.0,18.2581334004,0.105982905983,143.0,1140.0
117,222.0,7920.0,"(3618.0, 0.9045)",0.0,"(160, 0)",0.0,62.0,0.0,590.0,18.0152104633,0.105084745763,146.0,1153.4529148
118,223.0,7995.0,"(3615.0, 0.90375)",0.0,"(162, 0)",0.0,62.0,0.0,595.0,17.9356419633,0.104201680672,148.0,1161.49553571
119,221.0,8055.0,"(3616.0, 0.904)",0.0,"(163, 0)",0.0,63.0,0.0,600.0,17.7476025032,0.105,153.0,1171.48648649
120,221.0,8130.0,"(3613.0, 0.90325)",0.0,"(166, 0)",0.0,63.0,0.0,605.0,17.605721458,0.104132231405,155.0,1174.52702703
121,220.0,8205.0,"(3610.0, 0.9025)",0.0,"(170, 0)",0.0,63.0,0.0,610.0,17.5553958923,0.103278688525,157.0,1176.04072398
122,220.0,8280.0,"(3606.0, 0.9015)",0.0,"(174, 0)",0.0,63.0,0.0,615.0,18.0434402557,0.10243902439,158.0,1178.41628959
123,225.0,8355.0,"(3602.0, 0.9005)",0.0,"(173, 0)",0.0,63.0,0.0,620.0,17.4459429944,0.101612903226,159.0,1195.95132743
124,222.0,8430.0,"(3603.0, 0.90075)",0.0,"(175, 0)",0.0,63.0,0.0,625.0,17.5412326222,0.1008,165.0,1200.2690583
125,220.0,8505.0,"(3603.0, 0.90075)",0.0,"(177, 0)",0.0,63.0,0.0,630.0,17.0129598959,0.1,170.0,1210.24886878
126,218.0,8565.0,"(3604.0, 0.901)",0.0,"(178, 0)",0.0,64.0,0.0,635.0,17.4791146266,0.100787401575,175.0,1230.0
127,216.0,8625.0,"(3604.0, 0.901)",0.0,"(180, 0)",0.0,65.0,0.0,640.0,16.9335147534,0.1015625,179.0,1235.66820276
128,218.0,8700.0,"(3601.0, 0.90025)",0.0,"(181, 0)",0.0,65.0,0.0,645.0,17.2980005294,0.100775193798,181.0,1251.57534247
129,220.0,8775.0,"(3598.0, 0.8995)",0.0,"(182, 0)",0.0,65.0,0.0,650.0,16.936946032,0.1,183.0,1261.96832579
130,219.0,8835.0,"(3595.0, 0.89875)",0.0,"(186, 0)",0.0,66.0,0.0,655.0,16.8798199451,0.100763358779,184.0,1260.27272727
131,221.0,8895.0,"(3594.0, 0.8985)",0.0,"(185, 0)",0.0,67.0,0.0,660.0,17.0338690459,0.101515151515,187.0,1277.43243243
132,219.0,8970.0,"(3592.0, 0.898)",0.0,"(189, 0)",0.0,67.0,0.0,665.0,16.8635975998,0.100751879699,190.0,1282.5
133,222.0,9030.0,"(3589.0, 0.89725)",0.0,"(189, 0)",0.0,68.0,0.0,670.0,16.9044972973,0.101492537313,191.0,1296.25560538
134,224.0,9075.0,"(3589.0, 0.89725)",0.0,"(187, 0)",0.0,70.0,0.0,675.0,16.9201248162,0.103703703704,194.0,1310.46666667
135,230.0,9120.0,"(3587.0, 0.89675)",0.0,"(183, 0)",0.0,72.0,0.0,680.0,16.7942298971,0.105882352941,195.0,1331.2987013
136,230.0,9195.0,"(3582.0, 0.8955)",0.0,"(188, 0)",0.0,72.0,0.0,685.0,16.9472427797,0.105109489051,195.0,1331.2987013
137,232.0,9240.0,"(3580.0, 0.895)",0.0,"(188, 0)",0.0,74.0,0.0,690.0,16.6064208782,0.107246376812,196.0,1338.15450644
138,233.0,9315.0,"(3580.0, 0.895)",0.0,"(187, 0)",0.0,74.0,0.0,695.0,17.135607536,0.106474820144,201.0,1357.37179487
139,235.0,9390.0,"(3576.0, 0.894)",0.0,"(189, 0)",0.0,74.0,0.0,700.0,16.8953959219,0.105714285714,202.0,1365.76271186
140,237.0,9450.0,"(3572.0, 0.893)",0.0,"(191, 0)",0.0,75.0,0.0,705.0,16.6084011255,0.106382978723,202.0,1371.93277311
141,234.0,9510.0,"(3574.0, 0.8935)",0.0,"(192, 0)",0.0,76.0,0.0,710.0,16.8178146019,0.107042253521,208.0,1385.80851064
142,234.0,9585.0,"(3572.0, 0.893)",0.0,"(194, 0)",0.0,76.0,0.0,715.0,16.8351285128,0.106293706294,211.0,1395.70212766
143,231.0,9660.0,"(3572.0, 0.893)",0.0,"(197, 0)",0.0,76.0,0.0,720.0,16.715740804,0.105555555556,216.0,1398.87931034
144,226.0,9735.0,"(3573.0, 0.89325)",0.0,"(201, 0)",0.0,76.0,0.0,725.0,17.0025085689,0.104827586207,222.0,1395.59471366
145,230.0,9795.0,"(3569.0, 0.89225)",0.0,"(201, 0)",0.0,77.0,0.0,730.0,16.4217176484,0.105479452055,222.0,1409.09090909
146,229.0,9855.0,"(3566.0, 0.8915)",0.0,"(205, 0)",0.0,78.0,0.0,735.0,16.7807221887,0.10612244898,223.0,1410.58695652
147,230.0,9930.0,"(3565.0, 0.89125)",0.0,"(205, 0)",0.0,78.0,0.0,740.0,16.5297688411,0.105405405405,227.0,1422.46753247
148,234.0,9990.0,"(3561.0, 0.89025)",0.0,"(205, 0)",0.0,79.0,0.0,745.0,16.5198652333,0.106040268456,227.0,1436.04255319
149,239.0,10065.0,"(3556.0, 0.889)",0.0,"(205, 0)",0.0,79.0,0.0,750.0,16.3425465114,0.105333333333,227.0,1452.6875
